Timestamp,How do you identify yourself?,How old are you?,What is the highest degree you have achieved so far?,English proficiency,How much time do you spend online? How often do you use the Internet?,"How often do you search for information online with the help of search engines like Google, Bing, or DuckDuckGo? ",Please rate your personal interest on the topics below. [Is a university education worth it?],Please rate your personal interest on the topics below. [Should abortion be legal?],Please rate your personal interest on the topics below. [Should students have to wear school uniforms?],Please rate your personal interest on the topics below. [Should performance-enhancing drugs be accepted in sports?],Please rate your personal interest on the topics below. [Should birth control pills be available over the counter?],Please rate your personal interest on the topics below. [Can alternative energy effectively replace fossil fuels?],Please rate your personal interest on the topics below. [Is sexual orientation determined at birth?],Please rate your personal interest on the topics below. [Should animals be used for scientific or commercial testing?],Please rate your personal interest on the topics below. [Should recreational marijuana be legal?],Please rate your personal interest on the topics below. [Should gay marriage be legal?],Please rate your personal interest on the topics below. [Is human activity primarily responsible for global climate change?],Please rate your personal interest on the topics below. [Should euthanasia or physician-assisted suicide be legal?],Please rate your personal interest on the topics below. [Do standardized tests improve education?],Please rate your personal interest on the topics below. [Should prostitution be legal?],Please rate your personal interest on the topics below. [Should the government allow illegal immigrants to become citizens?],Please rate your personal interest on the topics below. [Is obesity a disease?],Please rate your personal interest on the topics below. [Should people become vegetarian?],Please rate your personal interest on the topics below. [Are social networking sites good for our society?],Please rate your personal interest on the topics below. [Is golf a sport?],Please rate your personal interest on the topics below. [Is cell phone radiation safe?],Please rate your personal interest on the topics below. [Should marijuana be a medical option?],Please rate your personal interest on the topics below. [Should the federal minimum wage be increased?],Please rate your personal interest on the topics below. [Should the death penalty be allowed?],Please rate your personal interest on the topics below. [Should the penny/cent stay in circulation?],Please rate your personal interest on the topics below. [Is homework beneficial?],Please rate your personal interest on the topics below. [Should the voting age be lowered?],How can we call you?,"Please visit the following website and take the short sign recognition test: http://ps-test.cir-group.org/

Fill in your pseudonym, take the 2-minute test and return to this form (by switching the tab in your browser). "
15.06.2025 20:23:00,Female,18,Abitur / Fachabitur,C1 - Professional language skills,Many times a day,Once per day,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,some interest / medium,high interest / strong opinion,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,no interest / don't care,high interest / strong opinion,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,some interest / medium,some interest / medium,Participant19,"Yes, I did the sign recognition test!"
15.06.2025 22:04:35,Female,22,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,no interest / don't care,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,Participant8,"Yes, I did the sign recognition test!"
16.06.2025 11:10:11,Male,30,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,no interest / don't care,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,Participant27,"Yes, I did the sign recognition test!"
17.06.2025 08:46:15,Female,20,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,some interest / medium,high interest / strong opinion,some interest / medium,no interest / don't care,some interest / medium,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,no interest / don't care,some interest / medium,high interest / strong opinion,no interest / don't care,high interest / strong opinion,no interest / don't care,no interest / don't care,some interest / medium,Participant56,"Yes, I did the sign recognition test!"
17.06.2025 11:40:05,Female,18,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,no interest / don't care,high interest / strong opinion,high interest / strong opinion,Participant46,"Yes, I did the sign recognition test!"
17.06.2025 14:48:12,Male,21,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,high interest / strong opinion,no interest / don't care,no interest / don't care,no interest / don't care,high interest / strong opinion,no interest / don't care,no interest / don't care,no interest / don't care,high interest / strong opinion,no interest / don't care,some interest / medium,no interest / don't care,no interest / don't care,high interest / strong opinion,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,no interest / don't care,high interest / strong opinion,high interest / strong opinion,some interest / medium,no interest / don't care,no interest / don't care,some interest / medium,Participant5,"Yes, I did the sign recognition test!"
17.06.2025 15:11:47,Diverse / prefer not to say,20,Abitur / Fachabitur,C1 - Professional language skills,Many times a day,Once per day,some interest / medium,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,some interest / medium,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,no interest / don't care,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,Participant3,"Yes, I did the sign recognition test!"
17.06.2025 15:36:59,Female,24,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Once per day,some interest / medium,high interest / strong opinion,no interest / don't care,some interest / medium,high interest / strong opinion,some interest / medium,no interest / don't care,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,no interest / don't care,high interest / strong opinion,no interest / don't care,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,no interest / don't care,some interest / medium,some interest / medium,Participant47,"Yes, I did the sign recognition test!"
18.06.2025 11:42:24,Female,41,Abitur / Fachabitur,C1 - Professional language skills,Many times a day,Many times a day,some interest / medium,high interest / strong opinion,no interest / don't care,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,no interest / don't care,no interest / don't care,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,Participant44,"Yes, I did the sign recognition test!"
18.06.2025 14:40:12,Male,21,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,some interest / medium,no interest / don't care,some interest / medium,no interest / don't care,some interest / medium,high interest / strong opinion,no interest / don't care,no interest / don't care,some interest / medium,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,no interest / don't care,some interest / medium,no interest / don't care,some interest / medium,high interest / strong opinion,no interest / don't care,some interest / medium,no interest / don't care,some interest / medium,Participant18,"Yes, I did the sign recognition test!"
18.06.2025 16:43:51,Diverse / prefer not to say,20,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,high interest / strong opinion,high interest / strong opinion,no interest / don't care,some interest / medium,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,some interest / medium,some interest / medium,no interest / don't care,some interest / medium,no interest / don't care,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,Participant4,"Yes, I did the sign recognition test!"
18.06.2025 21:29:50,Female,27,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,some interest / medium,no interest / don't care,high interest / strong opinion,no interest / don't care,no interest / don't care,Participant28,"Yes, I did the sign recognition test!"
18.06.2025 21:39:37,Female,20,Abitur / Fachabitur,B2 - Independent language skills,"I am online constantly, almost the whole time",Many times a day,no interest / don't care,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,no interest / don't care,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,some interest / medium,some interest / medium,some interest / medium,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,Participant13,"Yes, I did the sign recognition test!"
18.06.2025 22:32:04,Diverse / prefer not to say,34,"University degree (Bachelor, Master, etc.)",C1 - Professional language skills,Many times a day,Many times a day,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,no interest / don't care,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,no interest / don't care,high interest / strong opinion,high interest / strong opinion,Participant48,"Yes, I did the sign recognition test!"
19.06.2025 12:01:59,Male,22,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,no interest / don't care,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,no interest / don't care,Participant22,"Yes, I did the sign recognition test!"
25.06.2025 11:55:47,Female,25,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Once per day,some interest / medium,high interest / strong opinion,no interest / don't care,no interest / don't care,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,no interest / don't care,high interest / strong opinion,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,high interest / strong opinion,some interest / medium,no interest / don't care,no interest / don't care,some interest / medium,some interest / medium,Participant52,"Yes, I did the sign recognition test!"
25.06.2025 17:12:15,Male,27,Abitur / Fachabitur,C1 - Professional language skills,Many times a day,Many times a day,some interest / medium,some interest / medium,no interest / don't care,high interest / strong opinion,some interest / medium,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,high interest / strong opinion,no interest / don't care,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,Participant51,"Yes, I did the sign recognition test!"
26.06.2025 12:29:26,Male,33,Abitur / Fachabitur,C2 - (Approximate) native language proficiency,Many times a day,Many times a day,some interest / medium,high interest / strong opinion,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,no interest / don't care,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,no interest / don't care,no interest / don't care,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,Participant11,"Yes, I did the sign recognition test!"
26.06.2025 14:27:44,Male,25,Abitur / Fachabitur,C1 - Professional language skills,"I am online constantly, almost the whole time",Many times a day,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,no interest / don't care,no interest / don't care,some interest / medium,high interest / strong opinion,high interest / strong opinion,no interest / don't care,some interest / medium,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,no interest / don't care,no interest / don't care,some interest / medium,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,Participant9,"Yes, I did the sign recognition test!"
26.06.2025 15:04:14,Male,23,Abitur / Fachabitur,C2 - (Approximate) native language proficiency,"I am online constantly, almost the whole time",Many times a day,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,high interest / strong opinion,no interest / don't care,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,Participant10,"Yes, I did the sign recognition test!"
26.06.2025 13:39:06,Male,29,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,high interest / strong opinion,high interest / strong opinion,no interest / don't care,some interest / medium,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,no interest / don't care,no interest / don't care,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,Participant61,"Yes, I did the sign recognition test!"
